dur_log,hr_deg,clust_spd_log,total_dist_log,p_lng_deg,p_lat_deg,d_lng_deg,d_lat_deg,const,rsquared,rsquared_adj,aic,bic,condition_number
True,0,False,False,1,1,1,1,True,0.4685726049603526,0.46856274130127595,1161179.0567294112,1161339.4888055006,11.873357572638001
True,0,False,False,1,1,1,1,False,0.46857260496035247,0.46856274130127584,1161179.0567294112,1161339.4888055006,12.914334818810204
True,1,False,False,1,1,1,1,True,0.4660305566314349,0.4660198834025454,1164523.4776248694,1164695.3691349651,10.980141542516979
True,1,False,False,1,1,1,1,False,0.466030556631435,0.4660198834025455,1164523.4776248694,1164695.3691349651,10.853012578626473
True,2,False,False,1,1,1,1,True,0.48213724384411616,0.48212171676750215,1143084.7940800816,1143336.901628222,28.05376895457161
True,2,False,False,1,1,1,1,False,0.48213724384411605,0.48212171676750204,1143084.7940800814,1143336.9016282219,28.05551301208526
True,3,False,False,1,1,1,1,True,0.48508713103864975,0.4850665459927026,1139097.6100717606,1139429.9336579456,136.25786994363176
True,3,False,False,1,1,1,1,False,0.48508713103864964,0.4850665459927025,1139097.6100717606,1139429.9336579456,136.257864872183
True,4,False,False,1,1,1,1,True,0.4890266248755032,0.4890010901778744,1133732.2419149892,1134144.781539219,791.2642184879483
True,4,False,False,1,1,1,1,False,0.4890266248755032,0.4890010901778744,1133732.2419149892,1134144.781539219,791.2646701632212
True,5,False,False,1,1,1,1,True,0.49062224318744974,0.49059169692974514,1131555.6189843763,1132048.3746466506,4500.569473406476
True,5,False,False,1,1,1,1,False,0.4906222431874495,0.4905916969297449,1131555.6189843763,1132048.3746466506,4500.572192992343
False,0,False,False,1,1,1,1,True,0.6284422784321553,0.6284353820645103,10320973.715681875,10321134.147757964,11.873357572638001
False,0,False,False,1,1,1,1,False,0.6284422784321555,0.6284353820645106,10320973.715681875,10321134.147757964,12.914334818810204
False,1,False,False,1,1,1,1,True,0.624645439642477,0.6246379368814348,10328096.768581158,10328268.660091253,10.980141542516979
False,1,False,False,1,1,1,1,False,0.624645439642477,0.6246379368814348,10328096.768581158,10328268.660091253,10.853012578626473
False,2,False,False,1,1,1,1,True,0.6458987946718981,0.6458881776571024,10287284.528410278,10287536.635958418,28.05376895457161
False,2,False,False,1,1,1,1,False,0.6458987946718985,0.6458881776571028,10287284.528410278,10287536.635958418,28.05551301208526
False,3,False,False,1,1,1,1,True,0.6489186428128291,0.6489046073782837,10281299.594070971,10281631.917657156,136.25786994363176
False,3,False,False,1,1,1,1,False,0.6489186428128291,0.6489046073782837,10281299.594070971,10281631.917657156,136.257864872183
False,4,False,False,1,1,1,1,True,0.6523882142496249,0.6523708431648023,10274357.253490698,10274769.793114927,791.2642184879483
False,4,False,False,1,1,1,1,False,0.6523882142496246,0.6523708431648021,10274357.253490698,10274769.793114927,791.2646701632212
False,5,False,False,1,1,1,1,True,0.6529589035886931,0.6529380923015426,10273220.40029085,10273713.155953124,4500.569473406476
False,5,False,False,1,1,1,1,False,0.6529589035886929,0.6529380923015424,10273220.400290849,10273713.155953122,4500.572192992343
