formula,nobs,rsquared_adj,fvalue,f_pvalue,aic,bic,JB,JB-pval,skew,kurt,condition_number
np.log(dur) ~ C(is_hol) + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(clust_spd) + scale(total_time) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),700419.0,0.5989698402058163,30769.498349980913,0.0,970657.217598182,971058.2977884054,2502614.1212768145,0.0,-1.246851168772011,11.918185484430085,27.90316234073468
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(clust_spd) + scale(total_dist) + scale(total_time) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt),700419.0,0.7011988321371683,46963.16905907822,0.0,10168343.298551982,10168755.838176211,133334761.79876828,0.0,3.599219050560808,70.20807479290752,32.5364670043416
dur ~ C(is_hol)  + scale(blizz) + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_JFK) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(p_lng) + scale(p_lat) + scale(d_lng) + scale(d_lat) + scale(clust_spd) + scale(total_time) + scale(day_min_temp) + scale(day_rainfall) + scale(day_snowfall) + scale(day_snowdepth) + scale(hr_temp) + scale(hr_humid) + scale(hr_dewpt) + scale(hr_windspeed) + scale(hr_gustspeed) + scale(hr_precip),700419.0,0.6985253877812271,38641.20821316939,0.0,10174589.242540494,10175081.998202767,126483660.1231182,0.0,3.637527747933332,68.42982499348474,30.708677290249828
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(clust_spd) + scale(total_time) + scale(day_snowdepth) + scale(hr_temp),700419.0,0.6923755023070867,56302.51000557894,0.0,10188719.552276656,10189051.87586284,118089262.05157825,0.0,3.6008133848080335,66.20197180219559,23.596005164427517
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**3)) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(clust_spd) + scale(total_time) + scale(day_snowdepth) + scale(hr_temp),700419.0,0.6929796731504608,56462.52879579841,0.0,10187342.585100364,10187674.908686548,118721095.84321648,0.0,3.6114246722777894,66.3706006677903,18.95103873404789
dur ~ C(is_hol)  + C(dow) + C(dow):scale(hr) + C(dow):scale(I(hr**2)) + C(dow):scale(I(hr**3)) + C(p_LGA) + C(d_JFK) + C(d_LGA) + scale(clust_spd) + scale(total_time) + scale(day_snowdepth) + scale(hr_temp),700419.0,0.6956537046108626,45742.914378265814,0.0,10181222.477678094,10181635.017302323,122799800.36534539,0.0,3.6510711170173167,67.454937308279,113.55451807964538
